Date;Spread;Z-Score;Signal
2024-01-02;4604.151615460674;;
2024-01-03;4507.301330558899;;
2024-01-04;4588.821063944738;;
2024-01-05;4603.273391529124;;
2024-01-08;4653.744687755204;;
2024-01-09;4691.30049309984;;
2024-01-10;4721.939396176224;;
2024-01-11;4723.261645403631;;
2024-01-12;4727.283265164976;;
2024-01-16;4724.88859334717;;
2024-01-17;4707.586602819186;;
2024-01-18;4767.744566922449;;
2024-01-19;4793.045297345789;;
2024-01-22;4868.215296617071;;
2024-01-23;4877.4566850942365;;
2024-01-24;4827.471560153863;;
2024-01-25;4847.544906720477;;
2024-01-26;4833.117734584802;;
2024-01-29;4894.197322713631;;
2024-01-30;4965.25948746364;1.8480581542227106;SELL
2024-01-31;4848.30061683378;0.7763759922599304;
2024-02-01;5243.880841701853;3.09494306821249;
2024-02-02;5372.5782623472505;2.889404752265758;
2024-02-05;5277.087894769746;2.019878056797622;
2024-02-06;5233.0143091519685;1.5888712031711048;
2024-02-07;5309.367642694387;1.6987718397833822;
2024-02-08;5200.079215856255;1.0938485991999631;
2024-02-09;5313.18584626045;1.4192119364015439;
2024-02-12;5239.496394987934;0.999679433020248;
2024-02-13;5189.160528901665;0.7031238858565041;
2024-02-14;5257.146895949518;0.9151618312337751;
2024-02-15;5250.947746958674;0.8022553388494695;
2024-02-16;5239.425778521782;0.669411828905859;
2024-02-20;5324.647281943952;0.9900004330734137;
2024-02-21;5336.855522834245;0.9544970804676245;
2024-02-22;5450.350150857746;1.4081838045232362;
2024-02-23;5441.569623646734;1.2638990438783029;
2024-02-26;5506.931402612694;1.535150664735928;
2024-02-27;5477.996753358242;1.2991821154772327;
2024-02-28;5482.393368403969;1.2528176561852185;
2024-02-29;5454.238226707749;1.1939039282616053;
2024-03-01;5551.986336452995;1.827325659012035;
2024-03-04;5605.285070331573;1.9532005877632017;
2024-03-05;5520.757122472502;1.1597289483408029;
2024-03-06;5566.009667047359;1.348606527454297;
2024-03-07;5587.279971699199;1.3440064259973588;
2024-03-08;5528.857533024786;0.8405735343417768;
2024-03-11;5486.386807637662;0.463900416809158;
2024-03-12;5589.57201664871;1.133121332896875;
2024-03-13;5550.917545941147;0.7706526884702505;
2024-03-14;5684.890410772056;1.7304460842292393;
2024-03-15;5685.65747568911;1.6188520807914222;
2024-03-18;5694.991309341512;1.6568848746832776;
2024-03-19;5758.919691591379;2.0512242373984226;
2024-03-20;5832.156016193825;2.385331940595205;
2024-03-21;5936.375784781636;2.574530766477436;
2024-03-22;5868.0514734677;1.7885800547411979;
2024-03-25;5851.895894371651;1.4787354604721163;
2024-03-26;5844.621013407371;1.284670175718502;
2024-03-27;5848.8908270605625;1.1874027805654352;
2024-03-28;5860.797446542801;1.1592002912542505;
2024-04-01;5794.430921649634;0.6277106905082624;
2024-04-02;5818.2748909920465;0.7195133919914515;
2024-04-03;5896.023759619899;1.1509122081326921;
2024-04-04;5817.2499712498675;0.518371426795872;
2024-04-05;5968.623566072861;1.4581952384310823;
2024-04-08;5949.656059723731;1.2236785095917475;
2024-04-09;5897.354766159519;0.7844479369891577;
2024-04-10;5854.6349549709685;0.32997423582845076;
2024-04-11;5825.0081914818975;-0.11648670744251564;EXIT
2024-04-12;5831.529452341004;-0.1404564576742109;
2024-04-15;5767.962350730511;-1.1896773442457935;
2024-04-16;5809.051513202623;-0.7603639973346886;
2024-04-17;5752.104528838576;-1.7533545131449895;
2024-04-18;5679.534083725009;-2.4014758137447814;BUY
2024-04-19;5652.581232696661;-2.2976451672441742;
2024-04-22;5705.724083849845;-1.4247123404931148;
2024-04-23;5785.006699273444;-0.40588556655830593;
