Date;Close price
2023-01-03;138.48106384277344
2023-01-04;139.08407592773438
2023-01-05;137.35723876953125
2023-01-06;140.62808227539062
2023-01-09;138.9104766845703
2023-01-10;138.77340698242188
2023-01-11;137.649658203125
2023-01-12;136.87307739257812
2023-01-13;137.85064697265625
2023-01-17;137.4486541748047
2023-01-18;133.7666778564453
2023-01-19;130.93777465820312
2023-01-20;131.44337463378906
2023-01-23;129.6781768798828
2023-01-24;130.38607788085938
2023-01-25;130.29415893554688
2023-01-26;129.77012634277344
2023-01-27;129.23692321777344
2023-01-30;129.64138793945312
2023-01-31;130.9009552001953
2023-02-01;131.64561462402344
2023-02-02;130.7078857421875
2023-02-03;131.11241149902344
2023-02-06;129.99996948242188
2023-02-07;128.73123168945312
2023-02-08;127.39813995361328
2023-02-09;126.00067138671875
2023-02-10;127.11310577392578
2023-02-13;128.77720642089844
2023-02-14;128.0509033203125
2023-02-15;127.75666809082031
2023-02-16;126.08342742919922
2023-02-17;128.72203063964844
2023-02-21;128.63009643554688
2023-02-22;129.1725311279297
2023-02-23;128.75881958007812
2023-02-24;128.03250122070312
2023-02-27;127.92216491699219
2023-02-28;126.46954345703125
2023-03-01;126.56148529052734
2023-03-02;128.6484832763672
2023-03-03;129.58624267578125
2023-03-06;129.03460693359375
2023-03-07;126.46954345703125
2023-03-08;126.48793029785156
2023-03-09;125.55940246582031
2023-03-10;126.12939453125
2023-03-13;127.0028305053711
2023-03-14;128.57493591308594
2023-03-15;130.3953094482422
2023-03-16;131.36984252929688
2023-03-17;131.40660095214844
2023-03-20;133.4292449951172
2023-03-21;132.4639129638672
2023-03-22;132.38116455078125
2023-03-23;132.19728088378906
2023-03-24;134.89102172851562
2023-03-27;134.18313598632812
2023-03-28;134.56005859375
2023-03-29;134.97381591796875
2023-03-30;135.56222534179688
2023-03-31;136.70223999023438
2023-04-03;137.45611572265625
2023-04-04;138.11802673339844
2023-04-05;139.06503295898438
2023-04-06;139.94766235351562
2023-04-10;138.78924560546875
2023-04-11;138.51339721679688
2023-04-12;138.89035034179688
2023-04-13;139.5338897705078
2023-04-14;138.82595825195312
2023-04-17;138.8719482421875
2023-04-18;139.01905822753906
2023-04-19;139.04664611816406
2023-04-20;139.55641174316406
2023-04-21;144.38560485839844
2023-04-24;144.64462280273438
2023-04-25;144.681640625
2023-04-26;143.00717163085938
2023-04-27;144.75563049316406
2023-04-28;144.6724090576172
2023-05-01;144.84815979003906
2023-05-02;144.7186279296875
2023-05-03;144.53358459472656
2023-05-04;143.86749267578125
2023-05-05;144.34860229492188
2023-05-08;143.67323303222656
2023-05-09;142.20228576660156
2023-05-10;142.4983367919922
2023-05-11;142.8313751220703
2023-05-12;144.28379821777344
2023-05-15;144.33006286621094
2023-05-16;144.08029174804688
2023-05-17;143.4697265625
2023-05-18;141.11062622070312
2023-05-19;141.7026824951172
2023-05-22;137.99290466308594
2023-05-23;136.50344848632812
2023-05-24;135.37477111816406
2023-05-25;134.50514221191406
2023-05-26;134.51437377929688
2023-05-30;132.46058654785156
2023-05-31;131.8314971923828
2023-06-01;133.18223571777344
2023-06-02;135.550537109375
2023-06-05;135.01397705078125
2023-06-06;133.67254638671875
2023-06-07;133.95932006835938
2023-06-08;135.4765625
2023-06-09;135.5875701904297
2023-06-12;134.52366638183594
2023-06-13;134.19984436035156
2023-06-14;135.45803833007812
2023-06-15;137.33607482910156
2023-06-16;138.3444366455078
2023-06-20;137.06777954101562
2023-06-21;138.251953125
2023-06-22;138.72373962402344
2023-06-23;137.3452911376953
2023-06-26;137.48410034179688
2023-06-27;138.78854370117188
2023-06-28;138.76077270507812
2023-06-29;138.19647216796875
2023-06-30;140.37977600097656
2023-07-03;141.08287048339844
2023-07-05;140.8423309326172
2023-07-06;140.6110076904297
2023-07-07;137.65988159179688
2023-07-10;137.71536254882812
2023-07-11;136.9937744140625
2023-07-12;137.70614624023438
2023-07-13;137.79864501953125
2023-07-14;138.8162841796875
2023-07-17;137.83566284179688
2023-07-18;138.09466552734375
2023-07-19;139.03831481933594
2023-07-20;140.16571044921875
2023-07-21;142.37208557128906
2023-07-24;142.82827758789062
2023-07-25;143.16339111328125
2023-07-26;143.3123779296875
2023-07-27;141.6086883544922
2023-07-28;145.61183166503906
2023-07-31;145.50942993164062
2023-08-01;145.46290588378906
2023-08-02;145.7794189453125
2023-08-03;146.16111755371094
2023-08-04;144.5598602294922
2023-08-07;146.08660888671875
2023-08-08;146.24488830566406
2023-08-09;146.05870056152344
2023-08-10;145.33253479003906
2023-08-11;146.17974853515625
2023-08-14;145.0346221923828
2023-08-15;144.1036834716797
2023-08-16;142.63275146484375
2023-08-17;141.6086883544922
2023-08-18;142.009033203125
2023-08-21;141.2921600341797
2023-08-22;141.34803771972656
2023-08-23;142.67001342773438
2023-08-24;142.009033203125
2023-08-25;142.93997192382812
2023-08-28;143.16339111328125
2023-08-29;143.24720764160156
2023-08-30;143.4054718017578
2023-08-31;143.6847381591797
2023-09-01;143.84300231933594
2023-09-05;141.91590881347656
2023-09-06;141.6366424560547
2023-09-07;142.9865264892578
2023-09-08;142.37208557128906
2023-09-11;144.0664520263672
2023-09-12;141.5342254638672
2023-09-13;142.52105712890625
2023-09-14;144.08506774902344
2023-09-15;142.8748321533203
2023-09-18;143.41477966308594
2023-09-19;142.99583435058594
2023-09-20;142.8748321533203
2023-09-21;141.6366424560547
2023-09-22;141.11529541015625
2023-09-25;140.25877380371094
2023-09-26;139.0113067626953
2023-09-27;137.16799926757812
2023-09-28;136.23704528808594
2023-09-29;135.79017639160156
2023-10-02;135.16644287109375
2023-10-03;135.44573974609375
2023-10-04;135.89259338378906
2023-10-05;133.87242126464844
2023-10-06;134.1423797607422
2023-10-09;133.4627685546875
2023-10-10;134.7847442626953
2023-10-11;133.1276092529297
2023-10-12;133.42555236816406
2023-10-13;134.70095825195312
2023-10-16;135.98570251464844
2023-10-17;136.16256713867188
2023-10-18;139.6722869873047
2023-10-19;138.88629150390625
2023-10-20;138.6989288330078
2023-10-23;138.79258728027344
2023-10-24;140.43206787109375
2023-10-25;141.08786010742188
2023-10-26;140.33839416503906
2023-10-27;137.86514282226562
2023-10-30;139.83250427246094
2023-10-31;140.55386352539062
2023-11-01;140.16038513183594
2023-11-02;141.8748321533203
2023-11-03;140.59136962890625
2023-11-06;141.4063720703125
2023-11-07;141.07847595214844
2023-11-08;140.53514099121094
2023-11-09;140.85365295410156
2023-11-10;141.8466796875
2023-11-13;142.83038330078125
2023-11-14;142.51185607910156
2023-11-15;141.85606384277344
2023-11-16;143.17701721191406
2023-11-17;141.5281982421875
2023-11-20;140.77870178222656
2023-11-21;140.16038513183594
2023-11-22;141.48133850097656
2023-11-24;141.818603515625
2023-11-27;141.68746948242188
2023-11-28;142.67111206054688
2023-11-29;141.58436584472656
2023-11-30;143.82342529296875
2023-12-01;143.01776123046875
2023-12-04;142.4556427001953
2023-12-05;137.49041748046875
2023-12-06;137.38735961914062
2023-12-07;137.246826171875
2023-12-08;135.98207092285156
2023-12-11;136.60980224609375
2023-12-12;136.72218322753906
2023-12-13;139.19544982910156
2023-12-14;135.5230255126953
2023-12-15;134.8672637939453
2023-12-18;136.93765258789062
2023-12-19;136.93765258789062
2023-12-20;134.82041931152344
2023-12-21;135.1482696533203
2023-12-22;136.10389709472656
2023-12-26;136.72218322753906
2023-12-27;136.83462524414062
2023-12-28;136.52542114257812
2023-12-29;137.28427124023438
2024-01-02;139.34535217285156
