Date;Close price
2023-01-03;225.51927185058594
2023-01-04;220.63905334472656
2023-01-05;216.6813201904297
2023-01-06;221.78672790527344
2023-01-09;221.3995361328125
2023-01-10;224.53248596191406
2023-01-11;221.70948791503906
2023-01-12;224.63548278808594
2023-01-13;226.14993286132812
2023-01-17;226.1563720703125
2023-01-18;221.46388244628906
2023-01-19;224.2471923828125
2023-01-20;224.64833068847656
2023-01-23;221.1646270751953
2023-01-24;222.07308959960938
2023-01-25;223.5661163330078
2023-01-26;224.38880920410156
2023-01-27;219.51394653320312
2023-01-30;213.20399475097656
2023-01-31;214.0685272216797
2023-02-01;209.22264099121094
2023-02-02;207.42178344726562
2023-02-03;215.51541137695312
2023-02-06;205.32923889160156
2023-02-07;213.38853454589844
2023-02-08;203.6399383544922
2023-02-09;201.27706909179688
2023-02-10;206.33848571777344
2023-02-13;203.74615478515625
2023-02-14;206.85121154785156
2023-02-15;203.56378173828125
2023-02-16;201.0550537109375
2023-02-17;192.49917602539062
2023-02-21;193.06121826171875
2023-02-22;191.86636352539062
2023-02-23;189.76409912109375
2023-02-24;189.48956298828125
2023-02-27;190.86886596679688
2023-02-28;190.9375457763672
2023-03-01;192.56134033203125
2023-03-02;194.45338439941406
2023-03-03;194.8770751953125
2023-03-06;195.42514038085938
2023-03-07;191.08743286132812
2023-03-08;190.703857421875
2023-03-09;187.93380737304688
2023-03-10;183.09327697753906
2023-03-13;180.2899932861328
2023-03-14;177.25132751464844
2023-03-15;171.25460815429688
2023-03-16;178.2957305908203
2023-03-17;175.49559020996094
2023-03-20;180.54354858398438
2023-03-21;183.36080932617188
2023-03-22;176.86770629882812
2023-03-23;176.20045471191406
2023-03-24;177.43287658691406
2023-03-27;179.87091064453125
2023-03-28;182.43035888671875
2023-03-29;181.80816650390625
2023-03-30;182.1079864501953
2023-03-31;182.77203369140625
2023-04-03;192.87966918945312
2023-04-04;186.55850219726562
2023-04-05;189.64442443847656
2023-04-06;186.1588134765625
2023-04-10;189.31236267089844
2023-04-11;193.85641479492188
2023-04-12;186.5198211669922
2023-04-13;185.64410400390625
2023-04-14;184.22470092773438
2023-04-17;177.8594512939453
2023-04-18;173.67434692382812
2023-04-19;169.5064239501953
2023-04-20;167.59169006347656
2023-04-21;167.29840087890625
2023-04-24;169.0175323486328
2023-04-25;162.5727996826172
2023-04-26;158.35757446289062
2023-04-27;156.4954833984375
2023-04-28;158.771240234375
2023-05-01;158.71641540527344
2023-05-02;154.29383850097656
2023-05-03;153.9897918701172
2023-05-04;148.40782165527344
2023-05-05;151.73338317871094
2023-05-08;150.3935089111328
2023-05-09;149.7412567138672
2023-05-10;148.94403076171875
2023-05-11;146.58872985839844
2023-05-12;146.7531280517578
2023-05-15;147.2667236328125
2023-05-16;142.54974365234375
2023-05-17;144.6439208984375
2023-05-18;145.25205993652344
2023-05-19;144.62782287597656
2023-05-22;146.71231079101562
2023-05-23;145.50672912597656
2023-05-24;144.62457275390625
2023-05-25;140.17298889160156
2023-05-26;141.29580688476562
2023-05-30;140.4061279296875
2023-05-31;140.08058166503906
2023-06-01;142.83126831054688
2023-06-02;147.41929626464844
2023-06-05;144.54507446289062
2023-06-06;147.82870483398438
2023-06-07;153.79649353027344
2023-06-08;151.89126586914062
2023-06-09;150.02371215820312
2023-06-12;145.30628967285156
2023-06-13;144.1958770751953
