pair,pvalue,cointegrated
"('TAP', 'CHD')",0.00014990459570170302,True
"('CME', 'UNH')",0.00015206997943060046,True
"('PCAR', 'PH')",0.00015535846139486567,True
"('PSX', 'PKG')",0.00015584640421223656,True
"('HON', 'EFX')",0.00015633024769775005,True
"('HUM', 'GNRC')",0.00016209029697003175,True
"('NVR', 'ECL')",0.00016375368842909895,True
"('AMZN', 'AMAT')",0.00016504205991673852,True
"('LDOS', 'OKE')",0.00016544325757188443,True
"('FIS', 'DOW')",0.00016800185267788436,True
"('INTC', 'MU')",0.0001690276683661281,True
"('SYK', 'PCG')",0.0001690805656720545,True
"('SPG', 'BLK')",0.00017377492371963124,True
"('BAC', 'DOW')",0.00017383153809418696,True
"('GE', 'TTWO')",0.00017511421631979894,True
"('XYL', 'BALL')",0.00017744965079426463,True
"('CSGP', 'LYV')",0.00017764784678525247,True
"('CBOE', 'PFE')",0.00017875480931708987,True
"('CB', 'OKE')",0.00017995703710837438,True
"('WBD', 'EL')",0.00018111493172536086,True
"('MGM', 'BAX')",0.0001817537264425841,True
"('EQIX', 'SNA')",0.0001823308366609607,True
"('PFE', 'BMY')",0.00018552830943494074,True
"('ARE', 'DOW')",0.0001884960455203141,True
"('CHRW', 'WYNN')",0.0001931828343620536,True
"('PSKY', 'AMCR')",0.0002045633624031647,True
"('CRL', 'DOW')",0.0002080682124926246,True
"('UNP', 'JPM')",0.00020809449824617414,True
"('YUM', 'BAX')",0.000210979521598996,True
"('ETR', 'NKE')",0.0002113076121023836,True
"('WBD', 'GOOG')",0.0002146841807851328,True
"('TSN', 'DOW')",0.0002150374236528727,True
"('BG', 'ODFL')",0.00021823673604577505,True
"('APTV', 'PFE')",0.00021889328889400584,True
"('BBY', 'JKHY')",0.00022186942430037397,True
"('IVZ', 'DOW')",0.00022653984008616572,True
"('CMS', 'DGX')",0.0002276626000493862,True
"('ULTA', 'ETR')",0.00023159862846616703,True
"('PPG', 'ROL')",0.00023381851266796372,True
"('RJF', 'NUE')",0.00023416660285659871,True
"('WDAY', 'IR')",0.00023462324480737068,True
"('RSG', 'TTWO')",0.0002379450794531495,True
"('PM', 'DOW')",0.00023976237040250142,True
"('MDT', 'YUM')",0.00024580505886084706,True
"('FLEX', 'LYV')",0.0002466566387017307,True
"('CME', 'WYNN')",0.00024869443957794397,True
"('SYK', 'SO')",0.00025045520918365213,True
"('WDC', 'WYNN')",0.00025233022551496347,True
"('T', 'TTD')",0.0002573781808226949,True
"('WBD', 'VRSK')",0.00025838961391691756,True
"('DHI', 'AOS')",0.0002584356330354861,True
"('CRWD', 'MU')",0.00025944287500175435,True
"('BEN', 'DOW')",0.000261800640049133,True
"('C', 'TRV')",0.0002641847017726209,True
"('WBD', 'GOOGL')",0.00027034245069794123,True
"('VZ', 'WTW')",0.00027053946740681327,True
"('CDNS', 'WBD')",0.0002713156041628562,True
"('CTAS', 'FICO')",0.00027567130242153477,True
"('WBD', 'MTD')",0.00027636012232718003,True
