pair;final_return (%);final_profit ($);sharpe_ratio
REG-DHR;5.33%;133.25;0.926
LIN-CAH;-5.59%;-139.75;-1.283
COF-OTIS;-5.41%;-135.25;-0.986
PCG-AAPL;-5.96%;-149.0;-1.296
INCY-ORLY;-5.46%;-136.5;-0.763
GL-DOW;-5.78%;-144.5;-1.86
UNH-PKG;3.30%;82.5;0.492
T-PNW;0.25%;6.25;0.075
MRK-CI;-2.59%;-64.75;-0.331
TFC-WAT;-5.88%;-147.0;-0.57
COIN-WRB;10.98%;274.5;1.381
CPRT-CINF;-7.40%;-185.0;-2.593
IRM-SYK;-2.64%;-66.0;-0.326
MCK-AEE;-2.25%;-56.25;-0.244
TPR-WYNN;-5.95%;-148.75;-0.957
ACGL-DGX;-5.23%;-130.75;-0.91
STX-L;-5.79%;-144.75;-2.014
FAST-AMAT;11.12%;278.0;1.322
MNST-DAL;-5.83%;-145.75;-0.978
URI-CNC;9.54%;238.5;1.067
SCHW-MS;-3.41%;-85.25;-0.491
HPQ-CNP;-6.06%;-151.5;-3.037
RVTY-NEM;-5.80%;-145.0;-1.662
EXE-IBKR;0.96%;24.0;0.189
SMCI-GE;10.95%;273.75;1.79
GE-GOOGL;-6.64%;-166.0;-2.477
GEN-GL;15.87%;396.75;1.258
UBER-CI;1.52%;38.0;0.21
SYY-FSLR;-12.00%;-300.0;-1.387
CARR-IBKR;-5.79%;-144.75;-1.149
TDG-AEE;-0.63%;-15.75;-0.061
SBUX-PPL;-1.61%;-40.25;-0.223
KDP-CNP;-5.45%;-136.25;-0.99
MGM-DE;-2.10%;-52.5;-0.323
NOW-ROP;-5.74%;-143.5;-2.425
ZBRA-JCI;-5.85%;-146.25;-2.774
VRTX-CNC;11.41%;285.25;1.474
ODFL-ABT;-5.35%;-133.75;-0.798
GWW-PFE;7.82%;195.5;1.049
LLY-EBAY;11.96%;299.0;1.236
FAST-CRH;2.01%;50.25;0.344
HII-NFLX;-5.57%;-139.25;-1.041
A-SBAC;3.76%;94.0;0.536
CL-OTIS;-5.03%;-125.75;-1.016
IBM-GE;-6.05%;-151.25;-1.541
PNR-XOM;-6.93%;-173.25;-1.205
NVR-ITW;-1.22%;-30.5;-0.266
AIZ-KR;-5.83%;-145.75;-1.854
TXN-CVS;10.47%;261.75;1.725
SYY-AMCR;-2.93%;-73.25;-0.451
ULTA-KHC;10.55%;263.75;1.552
KHC-J;-5.29%;-132.25;-0.835
GEN-OKE;-5.56%;-139.0;-0.831
UDR-FE;-5.30%;-132.5;-1.548
DD-JBHT;10.04%;251.0;2.233
WFC-CI;10.62%;265.5;1.416
PSKY-VRSK;-6.04%;-151.0;-0.957
ZBRA-MMM;-6.99%;-174.75;-0.795
KDP-TMO;-0.97%;-24.25;-0.171
ALLE-PLD;-5.50%;-137.5;-1.584
CMS-AES;-2.96%;-74.0;-0.359
SJM-PFE;6.81%;170.25;1.256
LLY-PSA;-6.13%;-153.25;-2.162
CCI-MS;-9.46%;-236.5;-1.119
NVR-WBD;-6.75%;-168.75;-1.723
CHTR-COP;10.00%;250.0;1.814
KDP-VICI;-5.40%;-135.0;-1.277
COIN-JPM;-6.35%;-158.75;-0.642
CFG-STLD;3.72%;93.0;0.524
EXR-TDY;-5.82%;-145.5;-2.478
LVS-EOG;-1.86%;-46.5;-0.195
PWR-ZTS;10.31%;257.75;2.617
EXE-STE;-5.57%;-139.25;-1.028
LLY-ARES;-6.00%;-150.0;-1.145
ESS-CI;0.40%;10.0;0.093
AIZ-WSM;11.05%;276.25;1.684
EXR-CINF;-6.83%;-170.75;-1.837
DLR-WEC;-5.88%;-147.0;-1.856
MCO-MU;-5.80%;-145.0;-1.429
BAC-DHR;5.18%;129.5;0.772
UAL-PFE;-5.72%;-143.0;-1.183
MS-DOV;-2.64%;-66.0;-0.447
CLX-PFE;10.03%;250.75;1.69
DIS-TSLA;10.64%;266.0;1.026
URI-OKE;-6.11%;-152.75;-0.828
ODFL-CNP;10.50%;262.5;1.762
SPG-MPWR;11.14%;278.5;0.964
UBER-CRH;-5.64%;-141.0;-1.857
LYV-CI;5.01%;125.25;0.608
NVDA-EQT;10.21%;255.25;1.147
DLTR-PPL;-5.85%;-146.25;-1.044
CIEN-FDX;-5.78%;-144.5;-1.173
TRGP-PFE;11.40%;285.0;1.772
