Date;Spread;Z-Score;Signal;Px;Py;Portfolio Value
2024-01-02;58.41277952110025;;;55.63936996459961;54.75902557373047;2500.0
2024-01-03;58.72011932918855;;;55.76958084106445;54.833011627197266;2500.0
2024-01-04;57.68587351394487;;;55.58356857299805;54.9162483215332;2500.0
2024-01-05;57.45497916790481;;;55.499855041503906;54.87925338745117;2500.0
2024-01-08;58.483431488867296;;;55.90910720825195;55.09195709228515;2500.0
2024-01-09;58.64146902174329;;;55.806793212890625;54.90700149536133;2500.0
2024-01-10;59.03479811896861;;;55.99281692504883;55.0272216796875;2500.0
2024-01-11;62.83192271311265;;;55.63007354736328;53.34403991699219;2500.0
2024-01-12;63.847214707997864;;;56.16953659057617;53.73246383666992;2500.0
2024-01-16;62.3904892351901;;;55.79749298095703;53.7047233581543;2500.0
2024-01-17;64.98356113323754;;;55.79749298095703;52.881622314453125;2500.0
2024-01-18;68.08721125536701;;;55.95561599731445;52.104766845703125;2500.0
2024-01-19;66.52191957307383;;;55.64867401123047;52.1972541809082;2500.0
2024-01-22;65.08119253753381;;;55.40684509277344;52.33598327636719;2500.0
2024-01-23;65.52109430366048;;;55.667274475097656;52.53944396972656;2500.0
2024-01-24;65.38865343221957;;;54.79296875;51.42965316772461;2500.0
2024-01-25;63.87726092803473;;;55.0255012512207;52.21574783325195;2500.0
2024-01-26;64.89186014222074;;;55.22081756591797;52.151004791259766;2500.0
2024-01-29;64.12554468944288;;;55.555660247802734;52.83538055419922;2500.0
2024-01-30;64.34478154270431;0.5423745887841573;;55.71378707885742;52.9741096496582;2500.0
2024-01-31;63.11166331975608;0.1115469829402684;;55.33243560791016;52.863128662109375;2500.0
2024-02-01;63.96874862435382;0.3084099789722508;;56.718299865722656;54.416839599609375;2500.0
2024-02-02;65.38774530003667;0.6930433126735919;;56.30905532836914;53.427268981933594;2500.0
2024-02-05;66.92468491166832;1.1709574894031134;;55.84400177001953;52.32673645019531;2500.0
2024-02-06;66.8591436184008;1.089917290831795;;55.7509880065918;52.22500228881836;2500.0
2024-02-07;67.22697794847178;1.2332008268300538;;55.79749298095703;52.16950988769531;2500.0
2024-02-08;67.01721720438724;1.190700360488212;;55.64867401123047;52.040035247802734;2500.0
2024-02-09;65.01929081745882;-0.1395938485389949;;55.39754486083984;52.343379974365234;2500.0
2024-02-12;63.00154531214545;-1.4070152673698288;;55.52775955200195;53.1554069519043;2500.0
2024-02-13;64.03220070015516;-0.8607954289227706;;55.20221710205078;52.399375915527344;2500.0
2024-02-14;62.977255644053656;-1.4370667080292845;;55.14641189575195;52.66072082519531;2500.0
2024-02-15;61.04950311409942;-2.318942646107732;BUY;55.24872589111328;53.40742492675781;2497.5
2024-02-16;60.86388733968187;-2.043859403335825;;55.23942184448242;53.45408630371094;2496.7184325043872
2024-02-20;66.62663387880909;1.088120574325848;;56.45787811279297;53.230079650878906;2516.40466774254
2024-02-21;66.65285511226156;1.0457719635773328;;56.96013259887695;53.88343811035156;2514.0476520552866
2024-02-22;68.04031221433036;1.5891933958456943;;56.87643051147461;53.33275604248047;2520.644621872615
2024-02-23;66.5866674837282;0.7998986865538168;;56.92293167114258;53.855438232421875;2513.9358524805825
2024-02-26;67.92961204049215;1.3098211391787649;;56.4671745300293;52.828731536865234;2522.1669944081686
2024-02-27;64.35473025246878;-0.3436299697829591;;56.123023986816406;53.51008987426758;2507.9268506826365
2024-02-28;65.49794858173226;0.1581498271228348;EXIT;56.1788444519043;53.22074508666992;2512.7326304642643
2024-02-29;63.00184123204315;-0.9926276884980224;;55.82539749145508;53.54742813110352;2512.7326304642643
2024-03-01;58.84614564906576;-2.347867039443339;BUY;55.3696403503418;54.266117095947266;2510.2198978338
2024-03-04;57.48643618654788;-2.2937744541725515;;55.63007354736328;55.04082107543945;2503.003974017088
2024-03-05;55.39660573282009;-2.360286962382646;;55.36033630371094;55.34882354736328;2495.0531715950247
2024-03-06;52.571940073980585;-2.450529591194103;;55.388240814208984;56.28219985961914;2482.4673845768893
2024-03-07;52.79420402896247;-2.014481969994986;;55.28593063354492;56.07686233520508;2483.9268796305496
2024-03-08;52.5737553441939;-1.7789201675348816;;55.36033630371094;56.2448616027832;2482.606155774763
2024-03-11;54.73570679944649;-1.2212513108559844;;56.030025482177734;56.44087219238281;2489.000699802394
2024-03-12;58.82685039935353;-0.4145213471759851;;56.2718505859375;55.46083450317383;2505.906852126139
2024-03-13;63.04330420623674;0.3854394111576789;;56.848514556884766;54.88214492797851;2521.7964122758954
2024-03-14;64.01763392554386;0.5561490506184729;;56.72195053100586;54.406131744384766;2526.685709066771
2024-03-15;62.98711658234163;0.3441024838184771;;56.14066696166992;53.96744537353515;2524.865797176847
2024-03-18;62.54852746383361;0.2462188410608835;;56.375057220458984;54.41545486450195;2521.83348483012
2024-03-19;62.6141877024869;0.3036602974749456;;56.46881484985352;54.51813125610352;2521.6836357579023
2024-03-20;64.28472054081058;0.6592119086483399;;56.956336975097656;54.6301383972168;2526.765006007059
2024-03-21;62.13664267513312;0.3141304408939368;;56.693824768066406;54.96614837646485;2518.52351050772
2024-03-22;61.979228211546086;0.3427867805916307;;56.71257781982422;55.04082107543945;2517.7415294219213
2024-03-25;62.68761075063139;0.5901897124508079;;56.62820053100586;54.704803466796875;2521.26046763499
2024-03-26;64.29092355668203;0.9600690608313108;;56.75945281982422;54.36878967285156;2527.7150020998533
2024-03-27;61.28702589108693;0.3310910050930514;;57.21885299682617;55.927520751953125;2512.316824920078
2024-03-28;60.63573172881536;0.2062863145031632;;57.35948944091797;56.31953430175781;2508.785967566413
2024-04-01;59.748702891645166;-0.0203633294154053;EXIT;56.89071273803711;55.9835205078125;2507.0746660160867
2024-04-02;57.06887691522249;-0.6655205706286801;;56.39380645751953;56.17952346801758;2507.0746660160867
2024-04-03;58.38191844855504;-0.3942028233885308;;56.09379577636719;55.36749267578125;2507.0746660160867
2024-04-04;56.466562626039064;-0.9941021782272388;;55.59688949584961;55.32083511352539;2507.0746660160867
2024-04-05;59.106786296978555;-0.4137880146760567;;55.79376983642578;54.74214172363281;2507.0746660160867
2024-04-08;56.87914188219085;-1.3280258811322976;;55.56876754760742;55.15282440185547;2507.0746660160867
2024-04-09;58.18910818989778;-1.0352089624362912;;55.99066162109375;55.292823791503906;2507.0746660160867
2024-04-10;58.310646358573706;-0.9691048015068292;;55.24061584472656;54.266117095947266;2507.0746660160867
2024-04-11;59.58101741658032;-0.4210090652189219;;55.36250305175781;54.0234489440918;2507.0746660160867
2024-04-12;57.23168021830923;-1.2141219794839986;;54.64057922363281;53.8181037902832;2507.0746660160867
2024-04-15;56.83395939018109;-1.2337917191304284;;54.50932693481445;53.77143478393555;2507.0746660160867
