Date;Spread;Z-Score;Signal;Px;Py;Portfolio Value
2024-01-02;1028.1975018986493;;;110.29375457763672;195.89474487304688;2500.0
2024-01-03;1003.1774862526424;;;108.24642181396484;191.70504760742188;2500.0
2024-01-04;999.6316253641266;;;108.99356079101562;192.0518341064453;2500.0
2024-01-05;987.56052400108;;;108.81891632080078;190.76776123046875;2500.0
2024-01-08;972.212563003182;;;109.49810028076172;189.95230102539065;2500.0
2024-01-09;968.8419255557644;;;108.78008270263672;188.9869079589844;2500.0
2024-01-10;975.3540990483892;;;108.90621948242188;189.7085876464844;2500.0
2024-01-11;973.3947084904804;;;108.3531494140625;189.0243682861328;2500.0
2024-01-12;967.0996158406432;;;108.41136932373048;188.49009704589844;2500.0
2024-01-16;940.8953097085102;;;107.66424560546876;185.3689117431641;2500.0
2024-01-17;954.6861930961692;;;106.43196105957033;185.5376434326172;2500.0
2024-01-18;960.4639016191576;;;108.09117126464844;187.5809326171875;2500.0
2024-01-19;962.562857166026;;;108.54721069335938;188.190185546875;2500.0
2024-01-22;950.9304757024275;;;110.01234436035156;188.4338836669922;2500.0
2024-01-23;966.4411762090738;;;110.38108825683594;190.2147216796875;2500.0
2024-01-24;955.0207248905136;;;108.38224792480467;187.33724975585935;2500.0
2024-01-25;969.9812594061456;;;109.6242446899414;189.8585968017578;2500.0
2024-01-26;967.908451908702;;;109.0517578125;189.1461944580078;2500.0
2024-01-29;971.3207347937192;;;109.99295806884766;190.31784057617188;2500.0
2024-01-30;996.2857167062716;1.1059520581694702;;110.3713836669922;192.9891357421875;2500.0
2024-01-31;972.0608214878196;0.0793704166199881;;109.10027313232422;189.57742309570312;2500.0
2024-02-01;894.5727715282735;-3.2471007064202406;BUY;111.95296478271484;184.93777465820312;2497.5
2024-02-02;882.1349108680129;-2.840279251453163;;111.99176025390624;183.8130340576172;2502.321193645924
2024-02-05;863.619038503819;-2.651755310289019;;110.69157409667967;180.90736389160156;2505.394639380507
2024-02-06;818.2515380173152;-2.8318657698247303;;116.00879669189452;181.4978790283203;2538.6212143602834
2024-02-07;787.1191399692857;-2.629150938377643;;119.68622589111328;181.92904663085935;2561.5086374798325
2024-02-08;789.8379802720272;-2.122376254059376;;118.74503326416016;181.3291778564453;2557.6360790238646
2024-02-09;785.5939901097556;-1.8625333524892669;;120.60802459716795;182.6226501464844;2564.87113780026
2024-02-12;820.2557053130474;-1.2328173220152;;119.6377182006836;184.97528076171875;2548.829919672219
2024-02-13;801.4980793136135;-1.3301478769215138;;118.11434936523438;181.84469604492188;2551.3203331842956
2024-02-14;787.2164993091708;-1.3508914367812186;;120.47218322753906;182.6507873535156;2563.8469954571183
2024-02-15;815.7197569853602;-0.8998908794457661;;120.72443389892578;185.5376434326172;2553.829475325847
2024-02-16;813.8235018338491;-0.8348957731203467;;120.11317443847656;184.8065490722656;2552.6993936025206
