pair;w_x;w_y
('CSCO', 'CIEN');4.373022490850846;-3.373022490850846
('CSCO', 'HUM');-0.5492163450439808;1.5492163450439806
('CSCO', 'WBD');1.66701953207542;-0.6670195320754199
('CSCO', 'XEL');-2.245694971236584;3.245694971236584
('CSCO', 'KHC');-1.044560987355085;2.044560987355085
('CSCO', 'ETR');-6.372450992553528;7.372450992553528
('CSCO', 'EBAY');2.6988660116223375;-1.6988660116223375
('CSCO', 'SBUX');4.9926607705511845;-3.9926607705511845
('CSCO', 'EXE');9.288898401858498;-8.288898401858498
('CSCO', 'CCI');3.5847943104261657;-2.5847943104261657
('CSCO', 'ED');-1.0903500480829886;2.0903500480829886
('CSCO', 'NDAQ');7.3441532402503675;-6.3441532402503675
('CSCO', 'AON');-6.622678539354135;7.622678539354135
('CSCO', 'CMS');-1.992061534628188;2.992061534628188
('CSCO', 'NKE');4.387284802123776;-3.387284802123775
('CSCO', 'VEEV');2.587894744064581;-1.5878947440645812
('CSCO', 'EOG');107.68885616514547;-106.68885616514547
('CSCO', 'TTD');1.570194453822491;-0.570194453822491
('CSCO', 'CNP');-3.679510159666264;4.679510159666264
('CSCO', 'PM');-2.950628018136337;3.950628018136337
('CSCO', 'DGX');-0.9876825455850189;1.987682545585019
('CSCO', 'DIS');3.196842845813058;-2.196842845813058
('CSCO', 'FE');-2.7633620786715825;3.7633620786715825
('CSCO', 'CNC');-1.6708347272996715;2.6708347272996718
('CSCO', 'SRE');-18.001003570623553;19.001003570623553
('CSCO', 'DUK');-1.4542003818743165;2.4542003818743168
('CSCO', 'VZ');-1.640267325493253;2.640267325493253
('CSCO', 'IFF');2.821041698792872;-1.8210416987928721
('CSCO', 'IBKR');-36.22911700373563;37.22911700373563
('CSCO', 'WTW');-2.321306822181048;3.321306822181048
('CSCO', 'VICI');11.778122285795755;-10.778122285795755
('CSCO', 'LMT');-0.7286280545192498;1.7286280545192498
('CSCO', 'TRV');-2.4195482414994194;3.4195482414994194
('CSCO', 'AEP');-3.110433143208124;4.110433143208124
('CSCO', 'DOV');2.84385557316327;-1.8438555731632704
('CSCO', 'PPL');-5.996457493002544;6.996457493002544
('BNY', 'TKO');-1.4608429248506178;2.460842924850618
('BNY', 'MO');-0.9379254311794991;1.9379254311794991
('BNY', 'MCHP');2.804860450996635;-1.804860450996635
('BNY', 'MSCI');3.780267463782722;-2.780267463782722
('BNY', 'HUM');-0.3446580302121791;1.3446580302121791
('BNY', 'STLD');4.239750351375786;-3.239750351375786
('BNY', 'REG');-49.83533869691754;50.83533869691754
('BNY', 'KMI');-1.8904407369443725;2.8904407369443725
('BNY', 'MMM');8.559676361937614;-7.559676361937613
('BNY', 'ADSK');3.0074036438165104;-2.0074036438165104
('BNY', 'IP');-4.714372698581963;5.714372698581963
('BNY', 'NDAQ');-5.134082762654946;6.134082762654946
('BNY', 'PNC');4.099421863637504;-3.0994218636375046
('BNY', 'AON');-1.6893387918681804;2.6893387918681806
